img_name,dataset,gt_area_ratio,coarse_bin_bf,coarse_bin_rb,coarse_bin_pb,coarse_bin_iou,coarse_bin_sm,coarse_bin_mae,coarse_bin_em,refined_bf,refined_rb,refined_pb,refined_iou,refined_sm,refined_mae,refined_em,coarse_soft_mae,coarse_soft_sm,coarse_soft_tzr,coarse_bin_tzr,refined_tzr,coarse_bin_narrow5_local_iou,refined_narrow5_local_iou,coarse_bin_narrow5_local_bf,refined_narrow5_local_bf,coarse_bin_narrow10_local_iou,refined_narrow10_local_iou,coarse_bin_narrow10_local_bf,refined_narrow10_local_bf,coarse_bin_narrow20_local_iou,refined_narrow20_local_iou,coarse_bin_narrow20_local_bf,refined_narrow20_local_bf
camourflage_00011,TR-CAMO,0.11594038763987957,0.11196822767736614,0.09036644661422304,0.14714200654956833,0.327007249784964,0.5870050778806732,0.15641794043294102,0.7731842856321799,0.11184537238488758,0.09036644661422304,0.1467184295341342,0.3263605946380924,0.5864852513056521,0.15663656767054648,0.7730264575063139,0.17725550674837323,0.6092649566943638,0.2769120773822244,0.0,0.0,0.3919877421384286,0.3917335416518713,0.15880417810304004,0.15871439502229326,0.401899890390939,0.40129387729833466,0.1458793551585462,0.14567640017647784,0.35741684018926273,0.356691750809678,0.12922586708171777,0.12890434957004676
camourflage_00013,TR-CAMO,0.19514439368571154,0.010760384492569466,0.01922437673130194,0.007471067923238439,0.3373960186331783,0.49031216348324713,0.3756083370718108,0.4507194229935284,0.010680574018237809,0.01922437673130194,0.007394340671290143,0.33747866336353743,0.49041688278658835,0.3754560024593841,0.4509044181544497,0.372765291708057,0.5261008758100005,0.3056839961787419,0.0,0.0,0.4715658671608634,0.471535829690173,0.03737109932419698,0.03737338148817031,0.47570884100393185,0.4756679996516823,0.03658254241469173,0.036586916409532814,0.48518294308837623,0.4851462671077382,0.03408655890342093,0.03408655890342093
camourflage_00014,TR-CAMO,0.09839920948616601,0.00866606485660718,0.034993270524899055,0.00494539460127756,0.16245758287653353,0.317499869307459,0.507292490118577,0.2803860616358964,0.008684880791660288,0.034993270524899055,0.004957653377401363,0.160908767734221,0.31420252958700096,0.5131225296442687,0.27608231276423145,0.5023379059133535,0.35493202090665765,0.4843873517786561,0.0,0.0,0.46878483835005574,0.46878483835005574,0.06452947259565667,0.06452947259565667,0.4481427882296189,0.4481427882296189,0.05694989504426393,0.05694989504426393,0.3904599964202613,0.39035519370135097,0.0439220102766242,0.04416448439379999
camourflage_00015,TR-CAMO,0.19299397590361445,0.091699237374147,0.13512064343163538,0.06939799331103678,0.6084097594739575,0.7367416555597253,0.12269277108433735,0.8102952250003523,0.0915980389366114,0.13512064343163538,0.06928213689482471,0.6084841259158126,0.7367986603825252,0.12265060240963856,0.8103781438017276,0.1296313725490196,0.7728194160694613,0.18166265060240963,0.0,0.0,0.49271734182976784,0.492603550295858,0.22856643299329577,0.22856643299329577,0.49161182088011357,0.4915790152932826,0.20665635822016273,0.20639940791908226,0.5150570741964554,0.5151355817621873,0.1493343995316343,0.14928963230754405
camourflage_00016,TR-CAMO,0.21167582417582417,0.173478827426366,0.2202020202020202,0.14311270125223613,0.6912826041385919,0.7887748014928128,0.09440476190476191,0.8625835036272205,0.17020423840617224,0.21666666666666667,0.1401501608866643,0.6897334767539142,0.787117690395715,0.09509157509157509,0.861445002139484,0.10404492566257272,0.8209808612419779,0.1714010989010989,0.0,0.0,0.5296965403235329,0.52882235058352,0.32686230925222753,0.3218085946133687,0.5594426109277595,0.5586641277281382,0.2735497471547062,0.26902467995248786,0.6166402387836956,0.614519427402863,0.21801253572080392,0.21401873083868803
camourflage_00017,TR-CAMO,0.301336,0.12832726500327715,0.22726170264370604,0.0894059405940594,0.6040270766406608,0.6988861530196944,0.18406933333333333,0.770574832566449,0.12802201655302625,0.22726170264370604,0.08910988578180386,0.6039210962549975,0.6987940603696063,0.18413866666666667,0.7704935466641115,0.20155190588235297,0.7415373075181068,0.33344,0.0,0.0,0.4571928508936383,0.45733575045320995,0.3370413642090705,0.3368574221768128,0.4948316597755464,0.49497784342688333,0.2919310291288934,0.2917852065036219,0.5637441216259743,0.5638613223353525,0.239605399589411,0.2392852693467185
camourflage_00019,TR-CAMO,0.1727811056626398,0.161254514465247,0.17172243197500325,0.1519894850041821,0.751478131641605,0.8248909034655205,0.05468798075824201,0.9305160446699607,0.1607097869059655,0.17146204921234215,0.15122648249583234,0.751488321173716,0.8249084290681957,0.054678310649602734,0.9305612173807839,0.07387412097247302,0.8468237692548057,0.16370526915428746,0.0,0.0,0.4600643171227932,0.45981161180215957,0.2701984348870228,0.2699288563919385,0.5020997526318817,0.501764412565686,0.24267161989650168,0.2422534485041057,0.5607400293627403,0.5605542062265401,0.21104497747588385,0.2105108417318654
camourflage_00020,TR-CAMO,0.3830247894485937,0.3552662426503778,0.3700189753320683,0.3416447944006999,0.7335837773603711,0.7792971690355885,0.13805021452407437,0.8287720156797092,0.35580233384920246,0.3704933586337761,0.3422319474835886,0.7334048750574889,0.779120382854506,0.13816939456539012,0.8286238987408303,0.15299476854145438,0.8072481095342288,0.22564754489114888,0.0,0.0,0.5649491602879013,0.5646413887619918,0.48453601687500597,0.4851569422836396,0.6235527117611213,0.6232391685068149,0.41435629825926545,0.4149973125896511,0.71509485839978,0.7148433205057724,0.39377794900369356,0.3943819132761701
camourflage_00021,TR-CAMO,0.3432964760877382,0.06350176412520134,0.08012911801006362,0.05258914728682171,0.49755817038412686,0.5733783850202829,0.3047437971952535,0.6273844475746861,0.06328820818140067,0.08012911801006362,0.05229686342306743,0.4976001304438054,0.5734330723824232,0.3046826681049982,0.6274794588581619,0.3130690716416017,0.613407900756414,0.3214401294498382,0.0,0.0,0.37962801583547046,0.3795911252770238,0.14171218395465604,0.14166912486515415,0.4080190021050236,0.40799954483386436,0.12828154719613538,0.1282222115599767,0.46445987532549515,0.46451882779141446,0.11138168870297056,0.11121732728085268
camourflage_00022,TR-CAMO,0.4104309905780494,0.1247529153402419,0.11709041158362786,0.13348852677086798,0.7899220293787003,0.8013604036743809,0.10361853832442068,0.8865582816674551,0.12490994446080375,0.11726142971154943,0.1336258476266454,0.7899243825348048,0.8013662973575715,0.10362299465240642,0.8865427671701966,0.13197448284126484,0.8296286710316757,0.2646836007130125,0.0,0.0,0.4619157771522533,0.4620315788006745,0.2000637893576794,0.20026716044235213,0.48815768302493967,0.488151163164838,0.18320735464304952,0.18356008321042375,0.5327566778734252,0.5328048239943856,0.15777309120101848,0.1579556223847579
