img_name,dataset,coarse_iou,coarse_sm,coarse_mae,coarse_bf,naive_iou,naive_sm,naive_mae,naive_bf,naive_narrow_iou,naive_narrow_bf,refined_iou,refined_sm,refined_mae,refined_bf,refined_narrow_iou,refined_narrow_bf,coarse_narrow_iou,coarse_narrow_bf,centroid_distance,gt_area_ratio,gate_decision,S_score,LocalSAM_triggered
COD10K-CAM-2-Terrestrial-22-Bug-1259,TR-COD10K,0.5932232904338811,0.7227954282752567,0.1441830555089046,0.061932062404271675,0.5933145939990927,0.7228664245613841,0.14412850976727629,0.06188672853323009,0.47893022458426193,0.10384732514465536,0.5933145939990927,0.7228664245613841,0.14412850976727629,0.06188672853323009,0.47893022458426193,0.10384732514465536,0.47890559374624997,0.10387052229713264,0.016793240624884426,0.21266810495174854,full,11.234904,False
COD10K-CAM-2-Terrestrial-22-Bug-1261,TR-COD10K,0.2561242386555694,0.5863823706075602,0.16676770680819913,0.043563599784455516,0.2561471096625229,0.5864141287990836,0.1667476894216691,0.043563599784455516,0.44926823268970606,0.10061713439232207,0.2561471096625229,0.5864141287990836,0.1667476894216691,0.043563599784455516,0.44926823268970606,0.10061713439232207,0.44926823268970606,0.10061713439232207,0.01735691190315041,0.05844075997437775,full,14.381132,False
COD10K-CAM-2-Terrestrial-22-Bug-1264,TR-COD10K,0.050575221118110796,0.31059697257430746,0.4990734400994455,0.0,0.05057094020827986,0.3105855204751104,0.49911793794130016,0.0,0.4601704962456952,0.0,0.05057094020827986,0.3105855204751104,0.49911793794130016,0.0,0.4601704962456952,0.0,0.4601704962456952,0.0,0.19709664895797246,0.02658530738678529,full,9.209419,False
COD10K-CAM-2-Terrestrial-22-Bug-1265,TR-COD10K,0.13790838713283587,0.49218109625674505,0.1396224109212051,0.057645521061467725,0.13789607629275386,0.49222773402669173,0.13953075210023175,0.05832014885695668,0.33812418066976524,0.10646043195107811,0.13789607629275386,0.49222773402669173,0.13953075210023175,0.05832014885695668,0.33812418066976524,0.10646043195107811,0.33837685855890204,0.10546084643014614,0.023153380024774513,0.030126330750289688,full,13.591716,False
COD10K-CAM-2-Terrestrial-22-Bug-1266,TR-COD10K,0.016815386922615475,0.30840413336136363,0.4445987277560764,0.0,0.016818035233502577,0.308431716910098,0.4445275200737847,0.0,0.4312927148465901,0.0,0.016818035233502577,0.308431716910098,0.4445275200737847,0.0,0.4312927148465901,0.0,0.4312927148465901,0.0,0.05463331254871185,0.007603963216145833,full,1.380812,False
COD10K-CAM-2-Terrestrial-22-Bug-1269,TR-COD10K,0.4299604856779507,0.5778182513304709,0.2153427548499268,0.00774115066675268,0.4299604856779507,0.5778162447621018,0.2153427548499268,0.007737656595431098,0.4888485163076391,0.015623837512089876,0.4299604856779507,0.5778162447621018,0.2153427548499268,0.007737656595431098,0.4888485163076391,0.015623837512089876,0.48883160025606864,0.01562790697674419,0.026245377550112237,0.16254689787701318,full,5.149174,False
COD10K-CAM-2-Terrestrial-22-Bug-1275,TR-COD10K,0.004766048295705482,0.16296490783457623,0.7571733734443631,0.0,0.004766971056064542,0.1630466417352853,0.7570261026720352,0.0,0.28580497714575925,0.0,0.004766971056064542,0.1630466417352853,0.7570261026720352,0.0,0.28580497714575925,0.0,0.28580497714575925,0.0,0.1489266197499769,0.003626006588579795,full,1.241351,False
COD10K-CAM-2-Terrestrial-22-Bug-1279,TR-COD10K,0.06326829705990848,0.43307610646339556,0.14094452044930875,0.03634832007314983,0.06326955862852814,0.43307490287960265,0.14094152025729648,0.03632870887209151,0.35291272199571555,0.09130600737948076,0.06326955862852814,0.43307490287960265,0.14094152025729648,0.03632870887209151,0.35291272199571555,0.09130600737948076,0.35291272199571555,0.09130600737948076,0.09519715004562715,0.009900633640552995,full,1.577247,False
COD10K-CAM-2-Terrestrial-22-Bug-1280,TR-COD10K,0.4153694377221096,0.6394398076748664,0.15336320689970717,0.037525816501557736,0.4154373684841745,0.6395147818552165,0.1533203125,0.03749357327976664,0.48349449012562995,0.07726738696401156,0.4154373684841745,0.6395147818552165,0.1533203125,0.03749357327976664,0.48349449012562995,0.07726738696401156,0.4834711740168302,0.07726738696401156,0.04846388376807215,0.11167985907759882,full,6.628779,False
COD10K-CAM-2-Terrestrial-22-Bug-1287,TR-COD10K,0.21170173737585493,0.4701765894133698,0.17204800741215226,0.03015272064788853,0.21186312883958486,0.47030690766914335,0.17187642981332357,0.029924695106414805,0.49269013295298253,0.1452763634622444,0.21186312883958486,0.47030690766914335,0.17187642981332357,0.029924695106414805,0.49269013295298253,0.1452763634622444,0.49264069264069266,0.14582938959541553,0.043968894507071185,0.04685069317349927,full,8.021226,False
